Judul,Isi Berita,Tanggal Berita,Kategori
"Jelang Jokowi Lengser, Erick Thohir Mulai Bersih-bersih Rumah Dinas","Menteri BUMN Erick Thohir mulai bersih-bersih rumah dinas di Jakarta, jelang berakhirnya pemerintahan Jokowi-Ma'ruf pada Oktober mendatang.","Senin, 02 September 2024 - 19:21 WIB",EKONOMI BISNIS
"Diterjang Angin Kencang, Pintu Lobby Mal Botani Square Bogor Pecah","Pintu kaca lobby Mal Botani Square di Kota Bogor pecah, Senin (2/9/2024). Hal itu disebabkan hujan deras disertai angin kencang.","Senin, 02 September 2024 - 19:52 WIB",METRO
"Subsidi Energi Terus Melonjak, Gas Bumi Bisa Jadi Solusi Kurangi Impor LPG","Menjelang pergantian pemerintahan pada 20 Oktober mendatang, isu energi dinilai akan terus menjadi beban pemerintah baru di bawah Presiden Prabowo Subianto.","Senin, 02 September 2024 - 19:01 WIB",EKONOMI BISNIS
Google Chrome Makin Canggih: Cari Pakai Google Lens dan Ngobrol dengan Gemini Langsung di Browser,"Google Chrome kembali menghadirkan pembaruan menarik untuk meningkatkan pengalaman browsing penggunanya. Kini, mereka dapat mencari apa pun yang dilihat di layar dan berinteraksi dengan model AI Gemini langsung dari address bar Chrome.","Senin, 02 September 2024 - 19:00 WIB",TEKNO
"Saksi Ungkap Pungli Tak Hanya Terjadi di Rutan KPK, Lapas Kondisinya Juga Sama","Mantan Terpidana kasus suap impor bawang putih, Elviyanto menyatakan pungli bukan hanya terjadi di Rumah Tahanan (Rutan) cabang Komisi Pemberantasan Korupsi (KPK).","Senin, 02 September 2024 - 19:00 WIB",NASIONAL
10 Petinju dengan Pukulan Terkuat di Dunia: Rocky Marciano sang Raja Tak Terkalahkan!,Kelas berat selalu menjadi pusat perhatian. Para penggemar menyaksikan dengan antusias setiap pukulan keras yang bisa menjatuhkan lawan dalam sekejap.,"Senin, 02 September 2024 - 19:03 WIB",SPORTS
"Daftar Mobil yang Akan Dilarang Isi Pertalite, Avanza dan Ertiga Termasuk",Menteri Energi dan Sumber Daya Mineral (ESDM) Bahlil Lahadalia segera melakukan pembatasan pembelian bahan bakar minyak (BBM) bersubsidi setelah adanya penetapan Peraturan Menteri (Permen).,"Senin, 02 September 2024 - 18:57 WIB",OTOMOTIF
"Diberhentikan dari RSUP dr Karyadi Semarang, Dekan Undip: Sepekan Saya Rawat 300 Pasien Kanker","Dekan Fakultas Kedokteran Undip dr Yan Wisnu Prajoko diberhentikan sementara dari praktiknya di RSUP Kariadi Kota Semarang, Jawa Tengah. Dia masih mengikuti kebijakan dari Kemenkes maupun RSUP dr Kariadi.","Senin, 02 September 2024 - 18:56 WIB",DAERAH
5 Jenderal Jebolan Akpol 1991 Pernah Dinas di Polda Metro Jaya Teman Seangkatan Kapolri,Terdapat 5 jenderal jebolan Akpol 1991 pernah berdinas di Polda Metro Jaya teman seangkatan Kapolri Jenderal Polisi Listyo Sigit Prabowo. Mereka saat ini berpangkat Irjen hingga Komjen Polisi.,"Senin, 02 September 2024 - 19:40 WIB",METRO
"Israel Lumpuh Total, Mogok Kerja Nasional Tuntut Kesepakatan dengan Hamas","Bandara, sekolah, bank, dan rumah sakit di seluruh Israel tutup karena serikat pekerja terbesarnya menyerukan mogok kerja satu hari untuk memprotes kegagalan pemerintah mengamankan kesepakatan penyanderaan dengan Hamas.","Senin, 02 September 2024 - 20:40 WIB",INTERNATIONAL
